Name;Parent;Level;Occurance;Type;Min;Max;Description
UNITTYPE_1;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
UNITTYPE_2;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
UNITTYPE_3;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
WM_UNIT;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
WM_UNIT_ISO;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
ADD_TO_STK;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
BLOCK_STGE;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
MSG_TO_IM;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
SPEC_MVMT;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
CAPY_USAGE;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
PROCURE_UN;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
PROCURE_UN_ISO;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
STGE_TYPE;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
REF_UNIT;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
_--32STEP_PICK;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
MATERIAL_EXTERNAL;E1BPE1MLGNRTX;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MLGNRTX;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MLGNRTX;3;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MLGNRTX;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MLGNEXTRT;IDOC;2;0..999999;Complex;;;Transf.dados Retail - dados sistema depósito do cliente
FUNCTION;E1BPE1MLGNEXTRT;3;0..1;String;;3;Função
MATERIAL;E1BPE1MLGNEXTRT;3;0..1;String;;18;Nº do material
WHSE_NO;E1BPE1MLGNEXTRT;3;0..1;String;;3;Nº do depósito/complexo de depósito
FIELD1;E1BPE1MLGNEXTRT;3;0..1;String;;226;Container para dados caractere do comprimento 226
FIELD2;E1BPE1MLGNEXTRT;3;0..1;String;;250;Container para dados caractere do comprimento 250
FIELD3;E1BPE1MLGNEXTRT;3;0..1;String;;250;Container para dados caractere do comprimento 250
FIELD4;E1BPE1MLGNEXTRT;3;0..1;String;;250;Container para dados caractere do comprimento 250
E1BPE1MLGNEXTRT1;E1BPE1MLGNEXTRT;3;0..1;Complex;;;Transf.dados Retail - dados sistema depósito do cliente
MATERIAL_EXTERNAL;E1BPE1MLGNEXTRT1;4;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MLGNEXTRT1;4;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MLGNEXTRT1;4;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MLGNEXTRT1;4;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MLGNEXTRTX;IDOC;2;0..999999;Complex;;;Transf.dados Retail - barra de seleção para BAPIE1MLGNEXTRT
FUNCTION;E1BPE1MLGNEXTRTX;3;0..1;String;;3;Função
